name,goals,assists,top_speed,total_minutes,distance,rating,rank
Konrad Laimer,1,1,34.46,0.5626888217522659,0.46830503833515885,4.235281347624019,3
Piero Hincapie,1,0,34.81,0.5574018126888217,0.5970700985761228,3.828797792601975,4
Jurriën Timber,1,1,32.71,0.5536253776435045,0.3386500547645126,4.3355855816347795,3
Breel Embolo,1,3,32.9,0.5392749244712991,0.49322289156626503,4.932873078453944,3
José María Giménez,1,0,33.07,0.5392749244712991,0.5244386637458928,3.9100345874552582,4
Éderson,1,0,34.72,0.5309667673716012,0.6374589266155533,3.853710332474955,4
Arne Engels,1,3,32.33,0.5234138972809668,0.6602546549835707,4.8565080573726185,3
Nasser Djiga,1,1,33.27,0.5166163141993958,0.49178532311062434,4.308698036305362,3
Mahdi Camara,1,1,35.14,0.5105740181268882,0.5931681270536693,4.255466285962729,3
Ollie Watkins,1,4,33.0,0.49924471299093653,0.4853504928806133,5.3490332418435695,2
Hugo Magnetti,1,1,29.92,0.49924471299093653,0.5923466593647317,4.277736942925104,3
Angelo Stiller,1,0,30.95,0.4977341389728097,0.5709200438116101,3.9600450675675223,4
Loïs Openda,1,3,35.55,0.48867069486404835,0.40210843373493976,5.088265575520685,2
Berat Djimsiti,1,0,31.23,0.48489425981873113,0.5163608981380066,4.019577689924659,3
Kenan Yıldız,1,1,34.16,0.4773413897280967,0.4766566265060241,4.393756034407996,3
Rade Krunić,1,2,31.17,0.4773413897280967,0.5244386637458928,4.6974943058142316,3
Mehdi Taremi,1,2,31.95,0.47583081570996977,0.3964266155531216,4.782251051329103,3
Gernot Trauner,1,1,31.94,0.4705438066465257,0.46597754654983564,4.413631998430465,3
Edimilson Fernandes,1,0,32.81,0.4645015105740181,0.531078860898138,4.049307946211386,3
Ibrahima Konaté,1,0,34.11,0.46299093655589124,0.42736856516976995,4.118524924958849,3
Sead Kolašinac,1,1,32.9,0.4554380664652568,0.46953723986856527,4.440349576332832,3
Dominik Szoboszlai,1,1,34.52,0.45392749244712993,0.5192360350492882,4.411469041486593,3
Leroy Sané,1,0,34.38,0.4516616314199396,0.3614457831325301,4.182424647261522,3
Maximiliano Araújo,1,2,32.94,0.4463746223564955,0.4458515881708653,4.807184189489833,3
Felix Nmecha,1,1,34.71,0.44033232628398794,0.3809556407447974,4.525986945978669,3
Maximilian Beier,1,0,34.59,0.438821752265861,0.3311199342825849,4.2264612768421435,3
Otar Kiteishvili,1,0,32.29,0.4380664652567976,0.5164978094194963,4.109371000772337,3
